iter	RMSE
0	6038.675821
1	5874.313079
2	5728.644544
3	5611.268195
4	5476.918232
5	5348.631725
6	5229.831218
7	5121.470736
8	5005.438344
9	4909.280778
10	4811.135345
11	4718.533789
12	4632.257746
13	4563.1362
14	4490.519996
15	4417.594736
16	4353.016642
17	4291.215424
18	4236.211206
19	4174.235566
20	4116.885814
21	4073.177316
22	4029.377418
23	3994.779901
24	3962.024119
25	3931.795314
26	3905.627123
27	3880.890748
28	3850.571211
29	3825.9173
30	3798.036323
31	3771.452122
32	3753.398456
33	3730.140428
34	3706.362059
35	3684.110317
36	3662.534405
37	3649.57105
38	3632.992124
39	3620.250629
40	3607.49827
41	3594.687136
42	3579.979678
43	3571.550327
44	3557.06695
45	3546.338836
46	3540.930196
47	3530.812935
48	3524.876998
49	3520.316437
50	3509.991221
51	3504.068329
52	3501.301682
53	3492.418662
54	3482.706132
55	3475.723916
56	3470.14838
57	3462.483622
58	3459.96997
59	3455.830319
60	3452.598045
61	3446.950256
62	3443.336514
63	3436.805749
64	3431.069165
65	3425.276585
66	3423.261468
67	3420.262605
68	3416.291947
69	3410.539974
70	3407.426445
71	3404.105401
72	3399.296407
73	3396.954102
74	3393.909898
75	3390.808305
76	3386.34751
77	3383.142782
78	3379.733277
79	3377.147224
80	3374.79585
81	3370.648264
82	3368.472555
83	3364.377914
84	3364.292757
85	3361.614405
86	3359.499066
87	3356.512989
88	3354.89693
89	3351.924567
90	3350.896003
91	3348.701303
92	3344.15059
93	3342.645378
94	3340.034549
95	3336.976195
96	3334.159584
97	3331.581351
98	3329.535088
99	3327.536602
100	3325.164797
101	3323.338032
102	3322.013364
103	3320.751735
104	3319.691021
105	3318.13965
106	3315.897823
107	3314.125672
108	3310.984081
109	3309.586694
110	3308.045848
111	3307.491002
112	3305.695325
113	3304.08155
114	3301.857236
115	3300.278192
116	3299.22912
117	3296.996942
118	3295.411003
119	3293.926979
120	3292.660812
121	3290.564488
122	3287.815129
123	3286.267387
124	3284.480322
125	3282.80012
126	3281.283926
127	3279.899249
128	3279.155267
129	3278.043374
130	3276.67584
131	3274.032973
132	3272.402282
133	3270.749826
134	3268.362591
135	3266.030622
136	3264.92524
137	3263.277529
138	3262.304051
139	3260.611335
140	3259.901712
141	3259.84074
142	3258.187657
143	3257.754195
144	3256.633407
145	3254.810373
146	3252.440601
147	3251.878356
148	3249.711037
149	3247.599236
150	3246.20949
151	3243.868272
152	3242.702377
153	3241.626013
154	3239.959397
155	3237.871366
156	3235.382907
157	3234.287894
158	3232.602391
159	3232.061442
160	3230.703159
161	3228.737955
162	3227.769523
163	3225.80276
164	3223.89811
165	3220.959654
166	3219.972437
167	3218.218319
168	3215.809937
169	3214.676112
170	3212.913778
171	3211.518503
172	3209.296032
173	3207.540045
174	3206.650359
175	3205.440978
176	3204.11571
177	3202.345193
178	3200.834958
179	3199.654414
180	3198.019869
181	3195.206433
182	3194.465597
183	3191.965479
184	3191.168944
185	3190.104194
186	3188.578463
187	3186.957892
188	3185.561572
189	3183.626941
190	3182.208182
191	3180.437242
192	3179.327518
193	3177.644923
194	3176.469661
195	3175.049594
196	3173.726369
197	3172.430364
198	3171.770655
199	3170.99119
200	3170.01804
201	3168.893794
202	3167.661436
203	3166.058241
204	3164.890138
205	3164.002592
206	3162.853624
207	3161.698837
208	3160.039464
209	3159.034235
210	3157.492405
211	3156.676721
212	3155.250654
213	3154.511854
214	3153.759543
215	3152.369965
216	3150.098421
217	3149.147319
218	3148.100622
219	3147.339458
220	3146.043051
221	3145.364062
222	3144.841354
223	3143.840718
224	3142.863956
225	3142.207428
226	3141.591823
227	3141.129896
228	3140.220263
229	3139.671844
230	3139.086246
231	3138.356412
232	3137.866931
233	3137.264395
234	3136.454625
235	3136.060895
236	3135.693072
