iter	Passed	Remaining
0	0	320
1	0	268
2	0	235
3	0	221
4	1	265
5	1	307
6	2	331
7	2	346
8	3	360
9	3	370
10	4	372
11	4	384
12	5	388
13	5	391
14	6	405
15	6	401
16	6	403
17	7	399
18	7	396
19	8	399
20	8	396
21	8	395
22	9	395
23	9	391
24	9	388
25	10	387
26	10	384
27	11	384
28	11	382
29	11	380
30	12	375
31	12	370
32	12	368
33	12	365
34	13	361
35	13	358
36	13	358
37	14	354
38	14	350
39	14	346
40	14	346
41	15	344
42	15	341
43	15	338
44	15	336
45	16	337
46	16	335
47	16	333
48	17	331
49	17	328
50	17	327
51	17	325
52	18	323
53	18	320
54	18	317
55	18	315
56	18	314
57	19	312
58	19	309
59	19	308
60	19	305
61	20	304
62	20	303
63	20	301
64	20	300
65	21	298
66	21	297
67	21	296
68	21	294
69	22	292
70	22	292
71	22	291
72	22	290
73	23	288
74	23	287
75	23	287
76	23	286
77	24	286
78	24	285
79	24	284
80	24	282
81	25	281
82	25	280
83	25	279
84	25	277
85	26	276
86	26	277
87	26	276
88	26	275
89	27	276
90	27	276
91	27	275
92	28	274
93	28	274
94	28	273
95	28	272
96	29	272
97	29	271
98	29	270
99	30	270
100	30	269
101	30	268
102	30	267
103	30	267
104	31	266
105	31	265
106	31	264
107	31	264
108	32	263
109	32	262
110	32	261
111	32	260
112	33	259
113	33	258
114	33	258
115	33	257
116	34	256
117	34	255
118	34	255
119	34	254
120	35	254
121	35	254
122	35	253
123	35	252
124	36	252
125	36	252
126	36	251
127	36	251
128	37	250
129	37	249
130	37	249
131	37	249
132	38	249
133	38	248
134	38	247
135	38	247
136	39	247
137	39	246
138	39	246
139	40	246
140	40	245
141	40	244
142	40	244
143	40	243
144	41	243
145	41	242
146	41	242
147	41	241
148	42	240
149	42	241
150	42	240
151	43	240
152	43	239
153	43	239
154	43	239
155	44	238
156	44	238
157	44	237
158	44	237
159	45	236
160	45	236
161	45	235
162	45	234
163	45	234
164	46	233
165	46	233
166	46	233
167	47	233
168	47	232
169	47	232
170	47	231
171	48	231
172	48	231
173	48	231
174	48	230
175	49	229
176	49	229
177	49	228
178	49	228
179	50	228
180	50	228
181	50	227
182	50	227
183	51	226
184	51	226
185	51	225
186	51	225
187	51	224
188	52	224
189	52	223
190	52	223
191	52	222
192	53	222
193	53	222
194	53	221
195	53	221
196	54	220
197	54	220
198	54	220
199	55	220
200	55	219
201	55	219
202	55	218
203	55	218
204	56	218
205	56	217
206	56	217
207	56	216
208	57	216
209	57	215
210	57	215
211	57	214
212	58	214
213	58	214
214	58	213
215	58	213
216	59	212
217	59	212
218	59	211
219	59	211
220	59	211
221	60	210
222	60	210
223	60	210
224	60	209
225	61	209
226	61	208
227	61	208
228	61	208
229	62	207
230	62	207
231	62	206
232	62	206
233	63	206
234	63	205
235	63	205
236	63	205
237	64	204
238	64	204
239	64	204
240	64	204
241	65	203
242	65	203
243	65	203
244	65	202
245	65	202
246	66	201
247	66	201
248	66	201
249	66	200
250	67	200
251	67	199
252	67	199
253	67	199
254	68	198
255	68	198
256	68	197
257	68	197
258	68	197
259	69	196
260	69	196
261	69	196
262	69	195
263	70	195
264	70	195
265	70	194
266	70	194
267	71	193
268	71	193
269	71	193
270	71	192
271	71	192
272	72	192
273	72	192
274	72	192
275	73	191
276	73	191
277	73	191
278	73	190
279	74	190
280	74	190
281	74	189
282	74	189
283	75	189
284	75	188
285	75	188
286	75	188
287	75	187
288	76	187
289	76	187
290	76	186
291	76	186
292	77	186
293	77	186
294	77	185
295	77	185
296	78	185
297	78	184
298	78	184
299	78	184
300	79	183
301	79	183
302	79	183
303	79	183
304	80	182
305	80	182
306	80	182
307	80	181
308	81	181
309	81	181
310	81	180
311	81	180
312	82	180
313	82	179
314	82	179
315	82	178
316	82	178
317	83	178
318	83	177
319	83	177
320	83	176
321	83	176
322	84	176
323	84	175
324	84	175
325	84	175
326	84	174
327	85	174
328	85	174
329	85	173
330	85	173
331	85	172
332	86	172
333	86	172
334	86	171
335	86	171
336	86	170
337	87	170
338	87	170
339	87	170
340	87	169
341	88	169
342	88	169
343	88	169
344	88	168
345	89	168
346	89	168
347	89	167
348	89	167
349	90	167
350	90	167
351	90	166
352	90	166
353	91	166
354	91	166
355	91	165
356	91	165
357	92	165
358	92	164
359	92	164
360	92	164
361	93	164
362	93	163
363	93	163
364	93	163
365	94	163
366	94	163
367	94	162
368	95	162
369	95	162
370	95	162
371	95	161
372	96	161
373	96	161
374	96	161
375	96	160
376	97	160
377	97	160
378	97	160
379	97	159
380	98	159
381	98	159
382	98	159
383	99	159
384	99	158
385	99	158
386	99	157
387	99	157
388	100	157
389	100	157
390	100	156
391	100	156
392	101	156
393	101	155
394	101	155
395	101	155
396	102	155
397	102	154
398	102	154
399	102	154
400	103	154
401	103	153
402	103	153
403	103	153
404	104	152
405	104	152
406	104	152
407	104	152
408	105	151
409	105	151
410	105	151
411	105	150
412	105	150
413	106	150
414	106	150
415	106	149
